experiment_family,run_root,run_name,run_directory,dataset_path,dataset_name,cleaned_dataset_path,feature_set_name,prediction_context,target_kind,selection_scope,subset_column,subset_value,tuning_applied,source_table,model_name,model_display_name,validation_macro_f1,validation_accuracy,test_macro_f1,test_accuracy,validation_r2,test_r2,validation_mae,test_mae,validation_feature_columns_before_encoding,test_feature_columns_before_encoding,best_params,is_best_validation_in_scope,is_best_test_in_scope
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,9.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,logistic_regression,Logistic Regression,0.5027228591353479,0.5136330140014739,0.45647128245476,0.4613686534216336,,,,,18.0,18.0,,True,False
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,9.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,random_forest,Random Forest,0.4761074879490479,0.4782608695652174,0.486755743084857,0.4878587196467991,,,,,18.0,18.0,,False,True
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,9.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,xgboost,XGBoost,0.48206106870229,0.4826823876197494,0.4852900299904908,0.4856512141280353,,,,,18.0,18.0,,False,False
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,10.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,dummy_most_frequent,Dummy Most Frequent,0.3344693281402142,0.5025603511338698,0.3343065693430657,0.5021929824561403,,,,,18.0,18.0,,False,False
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,10.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,logistic_regression,Logistic Regression,0.4936668526740584,0.4974396488661302,0.4899626517273576,0.4956140350877193,,,,,18.0,18.0,,False,True
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,10.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,random_forest,Random Forest,0.4988229391787588,0.4996342355523043,0.4747967479674796,0.4780701754385965,,,,,18.0,18.0,,True,False
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,10.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,xgboost,XGBoost,0.4833943559438163,0.4835405998536942,0.4492409113875322,0.4495614035087719,,,,,18.0,18.0,,False,False
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,11.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,dummy_most_frequent,Dummy Most Frequent,0.3362360909530721,0.5065597667638484,0.336231884057971,0.5065502183406113,,,,,18.0,18.0,,False,False
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,11.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,logistic_regression,Logistic Regression,0.4788096482062,0.4912536443148688,0.4925779947840069,0.5065502183406113,,,,,18.0,18.0,,False,False
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,11.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,random_forest,Random Forest,0.5147218163281964,0.5167638483965015,0.5160252272412127,0.517467248908297,,,,,18.0,18.0,,False,True
